user_id,suggested_date,price,availability
1,2025-01-05,211,Low
2,2025-01-15,315,Low
3,2024-12-22,275,Medium
4,2025-01-12,309,Low
5,2025-01-09,203,Medium
6,2024-12-23,442,High
7,2025-01-09,277,High
8,2025-01-12,295,Medium
9,2025-01-03,328,Low
10,2025-01-09,534,High
11,2024-12-23,588,Medium
12,2025-01-06,398,Medium
13,2025-01-15,315,Low
14,2025-01-15,315,Low
15,2025-01-12,309,Low
16,2024-12-20,487,Medium
17,2025-01-03,328,Low
18,2025-01-06,398,Medium
19,2025-01-12,295,Medium
20,2025-01-05,530,Low
21,2024-12-23,442,High
22,2024-12-20,417,High
23,2024-12-29,263,Low
24,2025-01-09,534,High
25,2024-12-29,309,Low
26,2024-12-23,478,High
27,2024-12-24,379,High
28,2024-12-23,588,Medium
29,2024-12-23,588,Medium
30,2025-01-16,330,Medium
31,2024-12-22,275,Medium
32,2024-12-22,275,Medium
33,2025-01-09,203,Medium
34,2024-12-23,478,High
35,2024-12-24,379,High
36,2025-01-12,309,Low
37,2025-01-09,277,High
38,2025-01-12,309,Low
39,2025-01-03,328,Low
40,2025-01-17,201,High
41,2024-12-22,275,Medium
42,2024-12-23,478,High
43,2025-01-02,233,Medium
44,2024-12-29,309,Low
45,2025-01-15,315,Low
46,2025-01-05,530,Low
47,2025-01-03,328,Low
48,2025-01-12,421,Medium
49,2024-12-23,478,High
50,2025-01-02,233,Medium
51,2024-12-23,478,High
52,2025-01-17,201,High
53,2025-01-15,315,Low
54,2024-12-20,487,Medium
55,2024-12-29,309,Low
56,2025-01-12,421,Medium
57,2025-01-09,534,High
58,2025-01-17,201,High
59,2024-12-23,478,High
60,2025-01-03,328,Low
61,2025-01-09,534,High
62,2025-01-02,233,Medium
63,2025-01-05,211,Low
64,2025-01-05,530,Low
65,2024-12-20,417,High
66,2024-12-29,309,Low
67,2025-01-09,534,High
68,2024-12-23,588,Medium
69,2025-01-09,203,Medium
70,2024-12-20,417,High
71,2025-01-16,330,Medium
72,2025-01-05,530,Low
73,2024-12-29,263,Low
74,2024-12-23,442,High
75,2024-12-23,442,High
76,2025-01-09,277,High
77,2025-01-12,421,Medium
78,2024-12-23,588,Medium
79,2024-12-25,754,Medium
80,2025-01-02,272,High
81,2025-01-03,328,Low
82,2025-01-09,203,Medium
83,2025-01-05,211,Low
84,2025-01-05,211,Low
85,2025-01-02,272,High
86,2024-12-23,588,Medium
87,2025-01-12,309,Low
88,2025-01-17,201,High
89,2024-12-24,379,High
90,2025-01-06,398,Medium
91,2024-12-24,379,High
92,2025-01-05,211,Low
93,2024-12-24,379,High
94,2024-12-22,275,Medium
95,2025-01-09,277,High
96,2024-12-29,263,Low
97,2024-12-25,754,Medium
98,2025-01-02,233,Medium
99,2025-01-12,295,Medium
100,2024-12-23,588,Medium
