user_id,search_date,origin,destination,price_range,booking_status
1,2024-12-01,ATL,AMS,975,Not Booked
2,2024-12-08,CHI,HKG,382,Booked
3,2024-11-21,LAX,AMS,471,Not Booked
4,2024-12-10,ATL,HKG,708,Booked
5,2024-12-05,CHI,BER,752,Booked
6,2024-12-03,SFO,BER,758,Booked
7,2024-12-08,NYC,HKG,785,Not Booked
8,2024-12-18,ATL,BER,547,Booked
9,2024-12-01,LAX,PAR,638,Not Booked
10,2024-11-21,NYC,AMS,375,Not Booked
11,2024-12-01,SFO,LON,870,Booked
12,2024-11-22,ATL,LON,456,Not Booked
13,2024-12-11,CHI,HKG,773,Not Booked
14,2024-12-16,CHI,HKG,353,Booked
15,2024-12-05,ATL,HKG,885,Not Booked
16,2024-12-12,LAX,HKG,387,Booked
17,2024-11-21,LAX,PAR,397,Booked
18,2024-11-22,ATL,LON,666,Not Booked
19,2024-12-15,ATL,BER,876,Booked
20,2024-12-03,LAX,BER,956,Not Booked
21,2024-12-17,SFO,BER,423,Not Booked
22,2024-12-06,LAX,LON,451,Not Booked
23,2024-12-16,CHI,AMS,408,Booked
24,2024-12-01,NYC,AMS,756,Not Booked
25,2024-12-15,CHI,PAR,751,Not Booked
26,2024-12-08,ATL,PAR,539,Not Booked
27,2024-11-28,NYC,PAR,442,Booked
28,2024-12-05,SFO,LON,476,Not Booked
29,2024-12-13,SFO,LON,670,Booked
30,2024-11-26,SFO,HKG,310,Booked
31,2024-11-27,LAX,AMS,650,Not Booked
32,2024-12-04,LAX,AMS,373,Booked
33,2024-11-29,CHI,BER,638,Booked
34,2024-12-15,ATL,PAR,949,Not Booked
35,2024-12-08,NYC,PAR,559,Not Booked
36,2024-12-04,ATL,HKG,960,Not Booked
37,2024-12-12,NYC,HKG,864,Not Booked
38,2024-12-12,ATL,HKG,807,Not Booked
39,2024-12-08,LAX,PAR,465,Not Booked
40,2024-11-19,SFO,AMS,904,Not Booked
41,2024-12-15,LAX,AMS,394,Not Booked
42,2024-11-29,ATL,PAR,486,Not Booked
43,2024-12-16,SFO,PAR,523,Booked
44,2024-12-18,CHI,PAR,620,Not Booked
45,2024-11-27,CHI,HKG,776,Not Booked
46,2024-12-01,LAX,BER,762,Not Booked
47,2024-12-13,LAX,PAR,510,Not Booked
48,2024-11-28,NYC,BER,447,Not Booked
49,2024-11-24,ATL,PAR,309,Not Booked
50,2024-12-17,SFO,PAR,307,Booked
51,2024-11-24,ATL,PAR,336,Booked
52,2024-12-18,SFO,AMS,425,Not Booked
53,2024-11-22,CHI,HKG,731,Not Booked
54,2024-11-30,LAX,HKG,778,Not Booked
55,2024-12-10,CHI,PAR,356,Booked
56,2024-12-12,NYC,BER,853,Booked
57,2024-12-01,NYC,AMS,378,Booked
58,2024-12-15,SFO,AMS,341,Not Booked
59,2024-11-21,ATL,PAR,418,Not Booked
60,2024-11-21,LAX,PAR,938,Not Booked
61,2024-11-24,NYC,AMS,1000,Booked
62,2024-12-13,SFO,PAR,760,Not Booked
63,2024-12-10,ATL,AMS,355,Booked
64,2024-12-17,LAX,BER,314,Booked
65,2024-12-10,LAX,LON,657,Not Booked
66,2024-12-05,CHI,PAR,609,Booked
67,2024-11-27,NYC,AMS,929,Not Booked
68,2024-12-06,SFO,LON,993,Booked
69,2024-12-03,CHI,BER,602,Booked
70,2024-12-10,LAX,LON,394,Booked
71,2024-12-09,SFO,HKG,553,Not Booked
72,2024-11-27,LAX,BER,995,Booked
73,2024-11-27,CHI,AMS,428,Booked
74,2024-12-17,SFO,BER,755,Booked
75,2024-11-29,SFO,BER,902,Booked
76,2024-12-04,NYC,HKG,815,Booked
77,2024-12-05,NYC,BER,764,Booked
78,2024-11-28,SFO,LON,370,Not Booked
79,2024-12-04,CHI,LON,891,Booked
80,2024-11-21,NYC,LON,958,Booked
81,2024-12-17,LAX,PAR,396,Booked
82,2024-11-30,CHI,BER,645,Booked
83,2024-12-17,ATL,AMS,496,Not Booked
84,2024-12-16,ATL,AMS,794,Booked
85,2024-12-15,NYC,LON,334,Not Booked
86,2024-12-01,SFO,LON,354,Booked
87,2024-11-19,ATL,HKG,328,Booked
88,2024-11-20,SFO,AMS,437,Not Booked
89,2024-11-25,NYC,PAR,538,Booked
90,2024-11-28,ATL,LON,700,Not Booked
91,2024-11-22,NYC,PAR,487,Not Booked
92,2024-12-02,ATL,AMS,475,Booked
93,2024-11-20,NYC,PAR,336,Booked
94,2024-12-06,LAX,AMS,549,Booked
95,2024-12-10,NYC,HKG,669,Not Booked
96,2024-12-16,CHI,AMS,323,Booked
97,2024-12-11,CHI,LON,610,Not Booked
98,2024-12-16,SFO,PAR,605,Booked
99,2024-12-16,ATL,BER,431,Booked
100,2024-12-10,SFO,LON,674,Booked
